,"Type","Date","Num","Adj","Name","Memo","Account Type","Account","Clr","Split","Debit","Credit","Balance"
,"Sales Receipt","22-11-2024","3487",,"Cash Sales","Flem Fuel Gel 500ML","Income","Fuel Gel",,"Undeposited Funds","",130.00,55496.34
,"Sales Receipt","10-12-2024","3322",,"Cash Sales","Flem Fuel Gel 5L Label","Income","Fuel Gel",,"Undeposited Funds","",1500.00,56996.34
"Total Fuel Gel",,,,,,,,,,,5050.00,62046.34,56996.34
"Carneli Shower Gel",,,,,,,,,,,,,""
,"Sales Receipt","03-01-2024","1598",,"Cash Sales","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds","",700.00,700.00
,"Sales Receipt","11-01-2024","1723",,"Cash Sales","Carneli Sweet Vanilla Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",700.00
,"Sales Receipt","12-01-2024","1727",,"Cash Sales","Carneli Sweet Vanilla Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,1050.00
,"Sales Receipt","19-01-2024","1744",,"Cash Sales","Carneli Normal Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",600.00,1650.00
,"Sales Receipt","30-01-2024","1767",,"Cash Sales","Carneli Normal Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",1650.00
,"Sales Receipt","31-01-2024","1773",,"Cash Sales","Carneli Normal Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",1650.00
,"Sales Receipt","02-02-2024","1782",,"Cash Sales","Carneli Normal Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,2000.00
,"Sales Receipt","19-02-2024",,,"Joyce Body wash","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",2000.00
,"Sales Receipt","22-02-2024","1866",,"Cash Sales","Carneli Sweet Vanilla Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,2350.00
,"Sales Receipt","22-02-2024","1868",,"Cash Sales","Carneli Sweet Vanilla Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,2700.00
,"Sales Receipt","29-02-2024","1890",,"Cash Sales","Carneli Normal Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",600.00,3300.00
,"Sales Receipt","04-03-2024","1895",,"Cash Sales","Carneli Normal Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,3600.00
,"Sales Receipt","07-03-2024","2029",,"Cash Sales","Carneli Normal Shower Gel 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",295.00,3895.00
,"Sales Receipt","12-03-2024","2057",,"Cash Sales","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",3895.00
,"Sales Receipt","23-03-2024","2100",,,"Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,4195.00
,"Sales Receipt","28-03-2024","2130",,"Cash Sales","Carneli Sweet Vanilla Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,4495.00
,"Sales Receipt","03-04-2024","2144",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,4795.00
,"Sales Receipt","03-04-2024","2145",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,5095.00
,"Sales Receipt","08-04-2024","2164",,"Kangundo Briolly Bookshop","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,5395.00
,"Sales Receipt","19-04-2024","2231",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,5695.00
,"Sales Receipt","02-05-2024","2287",,"5pm Hotel","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",526.32,6221.32
,"Sales Receipt","03-05-2024","2300",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",6221.32
,"Sales Receipt","03-05-2024","2304",,"Cash Sales","Carneli Sweet Vanilla Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,6521.32
,"Sales Receipt","13-05-2024","2351",,"Aymat Wholesalers","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds","",4560.00,11081.32
,"Sales Receipt","13-05-2024","02916",,"Joyce Body wash","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",11081.32
,"Sales Receipt","14-05-2024","1925",,"Cash Sales","Carneli Sweet Vanilla Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,11381.32
,"Sales Receipt","15-05-2024","2361",,"Lango Supermarket","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds","",4200.00,15581.32
,"Sales Receipt","15-05-2024","2362",,"Cash Sales","Carneli Sweet Vanilla Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",15581.32
,"Sales Receipt","27-05-2024","2386",,"Joyce Body wash","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",15581.32
,"Sales Receipt","07-06-2024","1994",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,15931.32
,"Sales Receipt","07-06-2024","1995",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,16281.32
,"Sales Receipt","12-06-2024","10274",,"Joyce Body wash","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",16281.32
,"Sales Receipt","01-07-2024","2756",,"Cash Sales","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds","",600.00,16881.32
,"Sales Receipt","03-07-2024","2761",,"Cash Sales","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",16881.32
,"Sales Receipt","05-07-2024","2792",,"Cash Sales","Carneli Sweet Vanilla Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",300.00,17181.32
,"Sales Receipt","12-07-2024","2537",,"Cash Sales","Carneli Sweet Vanilla Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,17531.32
,"Sales Receipt","15-07-2024","2542",,"Cash Sales","-MULTIPLE-","Income","Carneli Shower Gel",,"Undeposited Funds","",700.00,18231.32
,"Sales Receipt","23-07-2024","2585",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,18581.32
,"Sales Receipt","14-08-2024","2822",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,18931.32
,"Sales Receipt","19-08-2024","2837",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,19281.32
,"Invoice","22-08-2024","MC06066",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Accounts Receivable","",301.72,19583.04
,"Credit Note","22-08-2024","CN01065",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Accounts Receivable",301.72,"",19281.32
,"Sales Receipt","23-08-2024","2880",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,19631.32
,"Sales Receipt","26-08-2024","2885",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",1050.00,20681.32
,"Sales Receipt","10-09-2024","2978",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,21031.32
,"Sales Receipt","12-09-2024","2987",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",21031.32
,"Sales Receipt","17-09-2024","3051",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",2100.00,23131.32
,"Sales Receipt","26-09-2024","3209",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds",0.00,"",23131.32
,"Sales Receipt","04-10-2024","3251",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",1050.00,24181.32
,"Sales Receipt","04-10-2024","AT200",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",1500.00,25681.32
,"Sales Receipt","07-10-2024","3256",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,26031.32
,"Sales Receipt","24-10-2024","3148",,"Cash Sales","Carneli Sweet Vanilla Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",820.00,26851.32
,"Sales Receipt","12-11-2024","3431",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",12600.00,39451.32
,"Sales Receipt","13-11-2024","3434",,"Cash Sales","Carneli Intense Clean Body Wash 5L","Income","Carneli Shower Gel",,"Undeposited Funds","",4020.00,43471.32
,"Sales Receipt","13-11-2024","3435",,"Cash Sales","Carneli Sweet Vanilla Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",1050.00,44521.32
,"Sales Receipt","22-11-2024","3484",,"Cash Sales","Carneli Sweet Vanilla Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",400.00,44921.32
,"Invoice","25-11-2024","MC06411",,"Solucom Enterprises Limited","Perfume Spiritz 2130420","Income","Carneli Shower Gel",,"Accounts Receivable","",9900.00,54821.32
,"Sales Receipt","02-12-2024","3767",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,55171.32
,"Sales Receipt","02-12-2024","3779",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",700.00,55871.32
,"Sales Receipt","11-12-2024","3336",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",350.00,56221.32
,"Sales Receipt","16-12-2024","3344",,"Cash Sales","Carneli Intense Clean Body Wash 400ML","Income","Carneli Shower Gel",,"Undeposited Funds","",800.00,57021.32
"Total Carneli Shower Gel",,,,,,,,,,,301.72,57323.04,57021.32
"Zelia Surface Cleaner",,,,,,,,,,,,,""
,"Invoice","04-01-2024","MC05269",,"OFFSHORE GLOBAL LOGISTICS LIMITED","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Accounts Receivable","",1358.62,1358.62
,"Sales Receipt","12-01-2024","1727",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",350.00,1708.62
,"Sales Receipt","25-01-2024","1758",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",660.00,2368.62
,"Sales Receipt","30-01-2024","1766",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",900.00,3268.62
,"Sales Receipt","31-01-2024","1773",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds",0.00,"",3268.62
,"Sales Receipt","10-02-2024","1821",,"Alma Mart","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",652.00,3920.62
,"Sales Receipt","28-03-2024","2129",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",300.00,4220.62
,"Sales Receipt","12-04-2024","2175",,"Tekonstruct LTD","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",1388.00,5608.62
,"Sales Receipt","08-05-2024","2321",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",320.00,5928.62
,"Sales Receipt","10-05-2024","1918",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",1580.00,7508.62
,"Sales Receipt","13-05-2024","2356",,"The Hub Minimart","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",326.00,7834.62
,"Sales Receipt","31-05-2024","1937",,"Island Gift Shop","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",694.00,8528.62
,"Sales Receipt","22-07-2024","2571",,"Fahma Qali","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",1200.00,9728.62
,"Sales Receipt","03-09-2024","3226",,"Soft Landing","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",714.00,10442.62
,"Sales Receipt","03-09-2024","2922",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds",0.00,"",10442.62
,"Sales Receipt","10-09-2024","2973",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",410.00,10852.62
,"Sales Receipt","16-09-2024","3044",,"Afro Drip LTD","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",300.00,11152.62
,"Sales Receipt","16-09-2024","3045",,"Afro Drip LTD Reception","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",300.00,11452.62
,"Sales Receipt","25-09-2024","3095",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",300.00,11752.62
,"Sales Receipt","27-09-2024","3216",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",600.00,12352.62
,"Sales Receipt","16-10-2024","3109",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",300.00,12652.62
,"Sales Receipt","08-11-2024","3458",,"Mama Sam Shop","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",2142.00,14794.62
,"Sales Receipt","11-11-2024","3420",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",350.00,15144.62
,"Sales Receipt","26-11-2024","3740",,"Afrodrip JKIA","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",300.00,15444.62
,"Sales Receipt","28-11-2024","3750",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",300.00,15744.62
,"Sales Receipt","16-12-2024","3346",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",1200.00,16944.62
,"Sales Receipt","17-12-2024","3355",,"Cash Sales","Zelia Surface Cleaner 750ML","Income","Zelia Surface Cleaner",,"Undeposited Funds","",600.00,17544.62
"Total Zelia Surface Cleaner",,,,,,,,,,,0.00,17544.62,17544.62
"Zelia Bleach",,,,,,,,,,,,,""
,"Sales Receipt","03-01-2024","1592",,"Cash Sales","Zelia Bleach 500ML","Income","Zelia Bleach",,"Undeposited Funds","",100.00,100.00
,"Invoice","04-01-2024","MC05269",,"OFFSHORE GLOBAL LOGISTICS LIMITED","Zelia Bleach 5L","Income","Zelia Bleach",,"Accounts Receivable","",1491.38,1591.38
,"Sales Receipt","04-01-2024","1707",,"Mama Amina","Zelia Bleach 500ML","Income","Zelia Bleach",,"Undeposited Funds","",606.00,2197.38
,"Sales Receipt","04-01-2024","1708",,"Cash Sales","Zelia Bleach 5L","Income","Zelia Bleach",,"Undeposited Funds","",850.00,3047.38
,"Invoice","05-01-2024","MC05272",,"Mumsha Supamat","-MULTIPLE-","Income","Zelia Bleach",,"Accounts Receivable","",1453.44,4500.82
,"Sales Receipt","05-01-2024","1600",,"Cash Sales","Zelia Bleach 5L","Income","Zelia Bleach",,"Undeposited Funds","",800.00,5300.82
,"Sales Receipt","05-01-2024","1711",,"Summer Outlets","Zelia Bleach 500ML","Income","Zelia Bleach",,"Undeposited Funds","",606.00,5906.82
,"Invoice","12-01-2024","MC05300",,"MUHINDI MWEUSI SUPERMARKET LIMITED","-MULTIPLE-","Income","Zelia Bleach",,"Accounts Receivable","",2296.55,8203.37
,"Invoice","12-01-2024","MC05302",,"MUHINDI MWEUSI SUPERMARKET LIMITED","Zelia Bleach 500ML","Income","Zelia Bleach",,"Accounts Receivable","",610.34,8813.71
,"Sales Receipt","12-01-2024","1727",,"Cash Sales","Zelia Bleach 750ML","Income","Zelia Bleach",,"Undeposited Funds",0.00,"",8813.71
,"Invoice","15-01-2024","MC05309",,"MUHINDI MWEUSI SUPERMARKET LIMITED","Zelia Bleach 750ML","Income","Zelia Bleach",,"Accounts Receivable","",1686.21,10499.92
,"Invoice","15-01-2024","MC05311",,"Seasons lane Mart","-MULTIPLE-","Income","Zelia Bleach",,"Accounts Receivable","",1453.45,11953.37
,"Invoice","15-01-2024","MC05315",,"MUHINDI MWEUSI SUPERMARKET LIMITED","Zelia Bleach 500ML","Income","Zelia Bleach",,"Accounts Receivable","",2441.38,14394.75
,"Sales Receipt","18-01-2024","1738",,"Cash Sales","Zelia Bleach 750ML","Income","Zelia Bleach",,"Undeposited Funds","",125.00,14519.75
,"Sales Receipt","19-01-2024","1739",,"Cash Sales","Zelia Bleach 500ML","Income","Zelia Bleach",,"Undeposited Funds",0.00,"",14519.75
,"Sales Receipt","19-01-2024","1744",,"Cash Sales","-MULTIPLE-","Income","Zelia Bleach",,"Undeposited Funds","",3210.00,17729.75
,"Invoice","23-01-2024","MC05343",,"MUHINDI MWEUSI SUPERMARKET LIMITED","Zelia Bleach 500ML","Income","Zelia Bleach",,"Accounts Receivable","",1220.69,18950.44
,"Invoice","24-01-2024","MC05346",,"Qways Supermarket","-MULTIPLE-","Income","Zelia Bleach",,"Accounts Receivable","",2063.79,21014.23
,"Sales Receipt","24-01-2024","1754",,"Cash Sales","Zelia Bleach 5L","Income","Zelia Bleach",,"Undeposited Funds","",800.00,21814.23
,"Sales Receipt","24-01-2024","1755",,"Alma Mart","-MULTIPLE-","Income","Zelia Bleach",,"Undeposited Funds","",2904.00,24718.23
,"Sales Receipt","24-01-2024","1757",,"Cash Sales","Zelia Bleach 750ML","Income","Zelia Bleach",,"Undeposited Funds","",125.00,24843.23
,"Sales Receipt","29-01-2024","1761",,"Cash Sales","Zelia Bleach 500ML","Income","Zelia Bleach",,"Undeposited Funds","",303.00,25146.23
,"Sales Receipt","29-01-2024","1769",,"Cash Sales","-MULTIPLE-","Income","Zelia Bleach",,"Undeposited Funds",0.00,"",25146.23
,"Sales Receipt","30-01-2024","1765",,"Cash Sales","Zelia Bleach 5L","Income","Zelia Bleach",,"Undeposited Funds","",800.00,25946.23
,"Sales Receipt","30-01-2024","1766",,"Cash Sales","Zelia Bleach 5L","Income","Zelia Bleach",,"Undeposited Funds","",800.00,26746.23
,"Sales Receipt","30-01-2024","1767",,"Cash Sales","Zelia Bleach 750ML","Income","Zelia Bleach",,"Undeposited Funds","",180.00,26926.23
,"Sales Receipt","31-01-2024","1773",,"Cash Sales","Zelia Bleach 500ML","Income","Zelia Bleach",,"Undeposited Funds",0.00,"",26926.23
,"Sales Receipt","01-02-2024","1776",,"FARMERS BEST GROCERY","-MULTIPLE-","Income","Zelia Bleach",,"Undeposited Funds","",2248.00,29174.23
,"Invoice","02-02-2024","MC05379",,"HOPEMART SELF SERVICES LTD","Zelia Bleach 500ML","Income","Zelia Bleach",,"Accounts Receivable","",610.34,29784.57
,"Sales Receipt","02-02-2024","1783",,"Cheche Minimart","-MULTIPLE-","Income","Zelia Bleach",,"Undeposited Funds","",1029.00,30813.57
,"Sales Receipt","03-02-2024","1792",,"Soimo Minimart","Zelia Bleach 500ML","Income","Zelia Bleach",,"Undeposited Funds","",303.00,31116.57
