,"Type","Date","Num","Name","Memo","Account","Clr","Split","Debit","Credit","Balance","Account Type"
"Cost",,,,,,,,,,,28000.00,
"Total Cost",,,,,,,,,"","",28000.00,
"HP Mini Desktop 4 - Other",,,,,,,,,,,0.00,
"Total HP Mini Desktop 4 - Other",,,,,,,,,"","",0.00,
"Total HP Mini Desktop 4",,,,,,,,,0.00,466.67,23333.30,
"HP Mini Desktop 3",,,,,,,,,,,35933.37,
"Accumulated Depreciation",,,,,,,,,,,-8066.63,
,"General Journal","18-01-2025","26699",,"HP Mini Desktop 3 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",733.33,-8799.96,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,733.33,-8799.96,
"Cost",,,,,,,,,,,44000.00,
"Total Cost",,,,,,,,,"","",44000.00,
"HP Mini Desktop 3 - Other",,,,,,,,,,,0.00,
"Total HP Mini Desktop 3 - Other",,,,,,,,,"","",0.00,
"Total HP Mini Desktop 3",,,,,,,,,0.00,733.33,35200.04,
"HP Mini Desktop 2",,,,,,,,,,,35933.37,
"Accumulated Depreciation",,,,,,,,,,,-8066.63,
,"General Journal","18-01-2025","26698",,"HP Mini Desktop 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",733.33,-8799.96,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,733.33,-8799.96,
"Cost",,,,,,,,,,,44000.00,
"Total Cost",,,,,,,,,"","",44000.00,
"HP Mini Desktop 2 - Other",,,,,,,,,,,0.00,
"Total HP Mini Desktop 2 - Other",,,,,,,,,"","",0.00,
"Total HP Mini Desktop 2",,,,,,,,,0.00,733.33,35200.04,
"HP Mini Desktop 1",,,,,,,,,,,35933.37,
"Accumulated Depreciation",,,,,,,,,,,-8066.63,
,"General Journal","18-01-2025","26697",,"HP Mini Desktop 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",733.33,-8799.96,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,733.33,-8799.96,
"Cost",,,,,,,,,,,44000.00,
"Total Cost",,,,,,,,,"","",44000.00,
"HP Mini Desktop 1 - Other",,,,,,,,,,,0.00,
"Total HP Mini Desktop 1 - Other",,,,,,,,,"","",0.00,
"Total HP Mini Desktop 1",,,,,,,,,0.00,733.33,35200.04,
"HP Laptop 16",,,,,,,,,,,46000.00,
"Cost",,,,,,,,,,,60000.00,
"Total Cost",,,,,,,,,"","",60000.00,
"Accumulated Depreciation",,,,,,,,,,,-14000.00,
,"General Journal","13-01-2025","26583",,"HP Laptop 16 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1000.00,-15000.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1000.00,-15000.00,
"HP Laptop 16 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 16 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 16",,,,,,,,,0.00,1000.00,45000.00,
"HP Laptop 15",,,,,,,,,,,78750.00,
"Accumulated Depreciation",,,,,,,,,,,-26250.00,
,"General Journal","11-01-2025","26582",,"HP Laptop 15 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1750.00,-28000.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1750.00,-28000.00,
"Cost",,,,,,,,,,,105000.00,
"Total Cost",,,,,,,,,"","",105000.00,
"HP Laptop 15 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 15 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 15",,,,,,,,,0.00,1750.00,77000.00,
"HP Laptop 14",,,,,,,,,,,87374.95,
"Accumulated Depreciation",,,,,,,,,,,-29125.05,
,"General Journal","11-01-2025","26581",,"HP Laptop 14 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1941.67,-31066.72,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1941.67,-31066.72,
"Cost",,,,,,,,,,,116500.00,
"Total Cost",,,,,,,,,"","",116500.00,
"HP Laptop 14 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 14 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 14",,,,,,,,,0.00,1941.67,85433.28,
"HP Laptop 13",,,,,,,,,,,37200.00,
"Accumulated Depreciation",,,,,,,,,,,-34800.00,
,"General Journal","22-01-2025","26728",,"HP Laptop 13 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1200.00,-36000.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1200.00,-36000.00,
"Cost",,,,,,,,,,,72000.00,
"Total Cost",,,,,,,,,"","",72000.00,
"HP Laptop 13 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 13 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 13",,,,,,,,,0.00,1200.00,36000.00,
"HP Laptop 12",,,,,,,,,,,36000.00,
"Accumulated Depreciation",,,,,,,,,,,-36000.00,
,"General Journal","15-01-2025","26642",,"HP Laptop 12 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1200.00,-37200.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1200.00,-37200.00,
"Cost",,,,,,,,,,,72000.00,
"Total Cost",,,,,,,,,"","",72000.00,
"HP Laptop 12 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 12 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 12",,,,,,,,,0.00,1200.00,34800.00,
"HP Laptop 11",,,,,,,,,,,34800.00,
"Accumulated Depreciation",,,,,,,,,,,-37200.00,
,"General Journal","15-01-2025","26641",,"HP Laptop 11 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1200.00,-38400.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1200.00,-38400.00,
"Cost",,,,,,,,,,,72000.00,
"Total Cost",,,,,,,,,"","",72000.00,
"HP Laptop 11 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 11 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 11",,,,,,,,,0.00,1200.00,33600.00,
"HP Laptop 10",,,,,,,,,,,34800.00,
"Accumulated Depreciation",,,,,,,,,,,-37200.00,
,"General Journal","10-01-2025","26540",,"HP Laptop 10 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1200.00,-38400.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1200.00,-38400.00,
"Cost",,,,,,,,,,,72000.00,
"Total Cost",,,,,,,,,"","",72000.00,
"HP Laptop 10 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 10 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 10",,,,,,,,,0.00,1200.00,33600.00,
"HP Laptop 9",,,,,,,,,,,34800.00,
"Accumulated Depreciation",,,,,,,,,,,-37200.00,
,"General Journal","10-01-2025","26541",,"HP Laptop 9 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1200.00,-38400.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1200.00,-38400.00,
"Cost",,,,,,,,,,,72000.00,
"Total Cost",,,,,,,,,"","",72000.00,
"HP Laptop 9 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 9 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 9",,,,,,,,,0.00,1200.00,33600.00,
"Dell Desktop 4",,,,,,,,,,,228.97,
"Accumulated Depreciation",,,,,,,,,,,-13521.03,
"Total Accumulated Depreciation",,,,,,,,,"","",-13521.03,
"Cost",,,,,,,,,,,13750.00,
"Total Cost",,,,,,,,,"","",13750.00,
"Dell Desktop 4 - Other",,,,,,,,,,,0.00,
"Total Dell Desktop 4 - Other",,,,,,,,,"","",0.00,
"Total Dell Desktop 4",,,,,,,,,"","",228.97,
"Dell Desktop 3",,,,,,,,,,,228.97,
"Accumulated Depreciation",,,,,,,,,,,-13521.03,
"Total Accumulated Depreciation",,,,,,,,,"","",-13521.03,
"Cost",,,,,,,,,,,13750.00,
"Total Cost",,,,,,,,,"","",13750.00,
"Dell Desktop 3 - Other",,,,,,,,,,,0.00,
"Total Dell Desktop 3 - Other",,,,,,,,,"","",0.00,
"Total Dell Desktop 3",,,,,,,,,"","",228.97,
"CCTV survellance System extensi",,,,,,,,,,,7885.92,
"Accumulated Depreciation",,,,,,,,,,,-47314.08,
,"General Journal","03-01-2025","26457",,"CCTV survellance System extension Depreciation","Accumulated Depreciation",,"Depreciation Expense","",657.14,-47971.22,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,657.14,-47971.22,
"Cost",,,,,,,,,,,55200.00,
"Total Cost",,,,,,,,,"","",55200.00,
"CCTV survellance System extensi - Other",,,,,,,,,,,0.00,
"Total CCTV survellance System extensi - Other",,,,,,,,,"","",0.00,
"Total CCTV survellance System extensi",,,,,,,,,0.00,657.14,7228.78,
"Dell Desktop 2",,,,,,,,,,,228.97,
"Accumulated Depreciation",,,,,,,,,,,-13521.03,
"Total Accumulated Depreciation",,,,,,,,,"","",-13521.03,
"Cost",,,,,,,,,,,13750.00,
"Total Cost",,,,,,,,,"","",13750.00,
"Dell Desktop 2 - Other",,,,,,,,,,,0.00,
"Total Dell Desktop 2 - Other",,,,,,,,,"","",0.00,
"Total Dell Desktop 2",,,,,,,,,"","",228.97,
"4 GB hard drive for CCTV 1",,,,,,,,,,,2142.96,
"Accumulated Depreciation",,,,,,,,,,,-12857.04,
,"General Journal","11-01-2025","26567",,"4 GB hard drive for CCTV Depreciation","Accumulated Depreciation",,"Depreciation Expense","",178.57,-13035.61,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,178.57,-13035.61,
"Cost",,,,,,,,,,,15000.00,
"Total Cost",,,,,,,,,"","",15000.00,
"4 GB hard drive for CCTV 1 - Other",,,,,,,,,,,0.00,
"Total 4 GB hard drive for CCTV 1 - Other",,,,,,,,,"","",0.00,
"Total 4 GB hard drive for CCTV 1",,,,,,,,,0.00,178.57,1964.39,
"HP Laptop 8",,,,,,,,,,,6000.00,
"Cost",,,,,,,,,,,72000.00,
"Total Cost",,,,,,,,,"","",72000.00,
"Accumulated Depreciation",,,,,,,,,,,-66000.00,
,"General Journal","02-01-2025","26421",,"HP Laptop 8 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1200.00,-67200.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1200.00,-67200.00,
"HP Laptop 8 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 8 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 8",,,,,,,,,0.00,1200.00,4800.00,
"HP Laptop 7",,,,,,,,,,,4800.00,
"Accumulated Depreciation",,,,,,,,,,,-67200.00,
,"General Journal","22-01-2025","26729",,"HP Laptop 7 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1200.00,-68400.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1200.00,-68400.00,
"Cost",,,,,,,,,,,72000.00,
"Total Cost",,,,,,,,,"","",72000.00,
"HP Laptop 7 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 7 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 7",,,,,,,,,0.00,1200.00,3600.00,
"4TB Hard Disk",,,,,,,,,,,2142.96,
"Cost",,,,,,,,,,,15000.00,
"Total Cost",,,,,,,,,"","",15000.00,
"Accumulated Depreciation",,,,,,,,,,,-12857.04,
,"General Journal","11-01-2025","26568",,"4TB Hard Disk Depreciation","Accumulated Depreciation",,"Depreciation Expense","",178.57,-13035.61,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,178.57,-13035.61,
"4TB Hard Disk - Other",,,,,,,,,,,0.00,
"Total 4TB Hard Disk - Other",,,,,,,,,"","",0.00,
"Total 4TB Hard Disk",,,,,,,,,0.00,178.57,1964.39,
"AVS Voltage Stabilizer",,,,,,,,,,,1135.40,
"Cost",,,,,,,,,,,5300.00,
"Total Cost",,,,,,,,,"","",5300.00,
"Accumulated Depreciation",,,,,,,,,,,-4164.60,
,"General Journal","22-01-2025","26726",,"AVS Voltage Stabilizer Depreciation","Accumulated Depreciation",,"Depreciation Expense","",63.10,-4227.70,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,63.10,-4227.70,
"AVS Voltage Stabilizer - Other",,,,,,,,,,,0.00,
"Total AVS Voltage Stabilizer - Other",,,,,,,,,"","",0.00,
"Total AVS Voltage Stabilizer",,,,,,,,,0.00,63.10,1072.30,
"CCTV DRV & System",,,,,,,,,,,3886.27,
"Cost",,,,,,,,,,,108808.00,
"Total Cost",,,,,,,,,"","",108808.00,
"Accumulated Depreciation",,,,,,,,,,,-104921.73,
"Total Accumulated Depreciation",,,,,,,,,"","",-104921.73,
"CCTV DRV & System - Other",,,,,,,,,,,0.00,
"Total CCTV DRV & System - Other",,,,,,,,,"","",0.00,
"Total CCTV DRV & System",,,,,,,,,"","",3886.27,
"Dell Desktop 1",,,,,,,,,,,1785.82,
"Cost",,,,,,,,,,,15000.00,
"Total Cost",,,,,,,,,"","",15000.00,
"Accumulated Depreciation",,,,,,,,,,,-13214.18,
,"General Journal","09-01-2025","26527",,"Dell Desktop 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",178.57,-13392.75,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,178.57,-13392.75,
"Dell Desktop 1 - Other",,,,,,,,,,,0.00,
"Total Dell Desktop 1 - Other",,,,,,,,,"","",0.00,
"Total Dell Desktop 1",,,,,,,,,0.00,178.57,1607.25,
"HP Laptop 1",,,,,,,,,,,0.00,
"Cost",,,,,,,,,,,0.00,
"Total Cost",,,,,,,,,"","",0.00,
"Accumulated Depreciation",,,,,,,,,,,0.00,
"Total Accumulated Depreciation",,,,,,,,,"","",0.00,
"HP Laptop 1 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 1 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 1",,,,,,,,,"","",0.00,
"HP Laptop 2",,,,,,,,,,,-0.24,
"Accumulated Depreciation",,,,,,,,,,,-33000.24,
"Total Accumulated Depreciation",,,,,,,,,"","",-33000.24,
"Cost",,,,,,,,,,,33000.00,
"Total Cost",,,,,,,,,"","",33000.00,
"HP Laptop 2 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 2 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 2",,,,,,,,,"","",-0.24,
"HP Laptop 3",,,,,,,,,,,1190.40,
"Accumulated Depreciation",,,,,,,,,,,-23809.60,
,"General Journal","17-01-2025","26670",,"HP Laptop 3 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",297.62,-24107.22,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,297.62,-24107.22,
"Cost",,,,,,,,,,,25000.00,
"Total Cost",,,,,,,,,"","",25000.00,
"HP Laptop 3 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 3 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 3",,,,,,,,,0.00,297.62,892.78,
"HP Laptop 4",,,,,,,,,,,2380.88,
"Accumulated Depreciation",,,,,,,,,,,-22619.12,
,"General Journal","02-01-2025","26420",,"HP Laptop 4 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",297.62,-22916.74,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,297.62,-22916.74,
"Cost",,,,,,,,,,,25000.00,
"Total Cost",,,,,,,,,"","",25000.00,
"HP Laptop 4 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 4 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 4",,,,,,,,,0.00,297.62,2083.26,
"HP Laptop 5",,,,,,,,,,,5416.43,
"Accumulated Depreciation",,,,,,,,,,,-29583.57,
,"General Journal","12-01-2025","26584",,"HP Laptop 5 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",416.67,-30000.24,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,416.67,-30000.24,
"Cost",,,,,,,,,,,35000.00,
"Total Cost",,,,,,,,,"","",35000.00,
"HP Laptop 5 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 5 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 5",,,,,,,,,0.00,416.67,4999.76,
"HP Laptop 6",,,,,,,,,,,5833.10,
"Accumulated Depreciation",,,,,,,,,,,-29166.90,
,"General Journal","08-01-2025","26523",,"HP Laptop 6 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",416.67,-29583.57,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,416.67,-29583.57,
"Cost",,,,,,,,,,,35000.00,
"Total Cost",,,,,,,,,"","",35000.00,
"HP Laptop 6 - Other",,,,,,,,,,,0.00,
"Total HP Laptop 6 - Other",,,,,,,,,"","",0.00,
"Total HP Laptop 6",,,,,,,,,0.00,416.67,5416.43,
"Lenovo Laptop",,,,,,,,,,,0.00,
"Accumulated Depreciation",,,,,,,,,,,0.00,
"Total Accumulated Depreciation",,,,,,,,,"","",0.00,
"Cost",,,,,,,,,,,0.00,
"Total Cost",,,,,,,,,"","",0.00,
"Lenovo Laptop - Other",,,,,,,,,,,0.00,
"Total Lenovo Laptop - Other",,,,,,,,,"","",0.00,
"Total Lenovo Laptop",,,,,,,,,"","",0.00,
"Lenovo Laptop 2",,,,,,,,,,,5666.89,
"Accumulated Depreciation",,,,,,,,,,,-22333.11,
,"General Journal","01-01-2025","26423",,"Lenovo Laptop 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",333.33,-22666.44,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,333.33,-22666.44,
"Cost",,,,,,,,,,,28000.00,
"Total Cost",,,,,,,,,"","",28000.00,
"Lenovo Laptop 2 - Other",,,,,,,,,,,0.00,
"Total Lenovo Laptop 2 - Other",,,,,,,,,"","",0.00,
"Total Lenovo Laptop 2",,,,,,,,,0.00,333.33,5333.56,
"Server 1",,,,,,,,,,,1071.66,
"Accumulated Depreciation",,,,,,,,,,,-28928.34,
,"General Journal","17-01-2025","26676",,"Server 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",357.14,-29285.48,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,357.14,-29285.48,
"Cost",,,,,,,,,,,30000.00,
"Total Cost",,,,,,,,,"","",30000.00,
"Server 1 - Other",,,,,,,,,,,0.00,
"Total Server 1 - Other",,,,,,,,,"","",0.00,
"Total Server 1",,,,,,,,,0.00,357.14,714.52,
"Server Monitor",,,,,,,,,,,321.66,
"Accumulated Depreciaion",,,,,,,,,,,-8678.34,
,"General Journal","17-01-2025","26677",,"Server Monitor Depreciation","Accumulated Depreciaion",,"Depreciation Expense","",107.14,-8785.48,"Fixed Asset"
"Total Accumulated Depreciaion",,,,,,,,,0.00,107.14,-8785.48,
"Cost",,,,,,,,,,,9000.00,
"Total Cost",,,,,,,,,"","",9000.00,
"Server Monitor - Other",,,,,,,,,,,0.00,
"Total Server Monitor - Other",,,,,,,,,"","",0.00,
"Total Server Monitor",,,,,,,,,0.00,107.14,214.52,
"Telkom Wifi Router",,,,,,,,,,,285.60,
"Accumulated Depreciation",,,,,,,,,,,-5714.40,
,"General Journal","06-01-2025","26506",,"Telkom Wifi Router Depreciation","Accumulated Depreciation",,"Depreciation Expense","",71.43,-5785.83,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,71.43,-5785.83,
"Cost",,,,,,,,,,,6000.00,
"Total Cost",,,,,,,,,"","",6000.00,
"Telkom Wifi Router - Other",,,,,,,,,,,0.00,
"Total Telkom Wifi Router - Other",,,,,,,,,"","",0.00,
"Total Telkom Wifi Router",,,,,,,,,0.00,71.43,214.17,
"Computer Equipment - Other",,,,,,,,,,,0.00,
"Total Computer Equipment - Other",,,,,,,,,"","",0.00,
"Total Computer Equipment",,,,,,,,,0.00,19311.90,554645.75,
"Custom Software",,,,,,,,,,,0.00,
"Total Custom Software",,,,,,,,,"","",0.00,
"Electrical Installation & Equip",,,,,,,,,,,28524.97,
"PF Correction Unit",,,,,,,,,,,18791.83,
"Accumulated Depreciation",,,,,,,,,,,-83708.17,
,"General Journal","20-01-2025","26705",,"PF Correction Unit Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1708.33,-85416.50,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1708.33,-85416.50,
"Cost",,,,,,,,,,,102500.00,
"Total Cost",,,,,,,,,"","",102500.00,
"PF Correction Unit - Other",,,,,,,,,,,0.00,
"Total PF Correction Unit - Other",,,,,,,,,"","",0.00,
"Total PF Correction Unit",,,,,,,,,0.00,1708.33,17083.50,
"Electrical Enclosure CCTV",,,,,,,,,,,554.80,
"Accumulated Depreciation",,,,,,,,,,,-10095.20,
,"General Journal","03-01-2025","26458",,"Electrical Enclosure CCTV Depreciation","Accumulated Depreciation",,"Depreciation Expense","",126.19,-10221.39,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,126.19,-10221.39,
"Cost",,,,,,,,,,,10650.00,
"Total Cost",,,,,,,,,"","",10650.00,
"Electrical Enclosure CCTV - Other",,,,,,,,,,,0.00,
"Total Electrical Enclosure CCTV - Other",,,,,,,,,"","",0.00,
"Total Electrical Enclosure CCTV",,,,,,,,,0.00,126.19,428.61,
"Electrical Enclosure Compressor",,,,,,,,,,,875.00,
"Accumulated Depreciation",,,,,,,,,,,-9625.00,
,"General Journal","24-01-2025","26756",,"Electrical Enclosure Compressor Depreciation","Accumulated Depreciation",,"Depreciation Expense","",125.00,-9750.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,125.00,-9750.00,
"Cost",,,,,,,,,,,10500.00,
"Total Cost",,,,,,,,,"","",10500.00,
"Electrical Enclosure Compressor - Other",,,,,,,,,,,0.00,
"Total Electrical Enclosure Compressor - Other",,,,,,,,,"","",0.00,
"Total Electrical Enclosure Compressor",,,,,,,,,0.00,125.00,750.00,
"Electrical Enclosure Main",,,,,,,,,,,7017.51,
"Accumulated Depreciation",,,,,,,,,,,-189482.49,
,"General Journal","03-01-2025","26459",,"Electrical Enclosure Main Depreciation","Accumulated Depreciation",,"Depreciation Expense","",2339.29,-191821.78,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,2339.29,-191821.78,
"Cost",,,,,,,,,,,196500.00,
"Total Cost",,,,,,,,,"","",196500.00,
"Electrical Enclosure Main - Other",,,,,,,,,,,0.00,
"Total Electrical Enclosure Main - Other",,,,,,,,,"","",0.00,
"Total Electrical Enclosure Main",,,,,,,,,0.00,2339.29,4678.22,
"Electrical Enclosure P Line",,,,,,,,,,,1285.83,
"Accumulated Depreciation",,,,,,,,,,,-34714.17,
,"General Journal","03-01-2025","26460",,"Electrical Enclosure P Line Depreciation","Accumulated Depreciation",,"Depreciation Expense","",428.57,-35142.74,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,428.57,-35142.74,
"Cost",,,,,,,,,,,36000.00,
"Total Cost",,,,,,,,,"","",36000.00,
"Electrical Enclosure P Line - Other",,,,,,,,,,,0.00,
"Total Electrical Enclosure P Line - Other",,,,,,,,,"","",0.00,
"Total Electrical Enclosure P Line",,,,,,,,,0.00,428.57,857.26,
"Electrical Installation & Equip - Other",,,,,,,,,,,0.00,
